,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SkipThoughtCS,EmbeddingAverageCosineSimilarity,EmbeddingAverageCosineSimilairty,VectorExtremaCosineSimilarity,GreedyMatchingScore
4000,0.0,0.0,0.0,0.0,0.021519999999999997,0.0,0.0,0.3487190008163452,0.628045,0.628045,0.238852,0.8666219999999999
15000,1e-06,0.0,0.0,0.0,0.031253,0.00014199999999999998,0.0004980000000000001,0.3593359887599945,0.5869479999999999,0.5869479999999999,0.230786,0.8588
30000,1e-06,0.0,0.0,0.0,0.03317,0.000244,0.000848,0.35991400480270386,0.635321,0.635321,0.240247,0.8723850000000001
52000,2e-06,0.0,0.0,0.0,0.033116,0.0005480000000000001,0.001594,0.361160010099411,0.641099,0.641099,0.250845,0.8734129999999999
68000,2e-06,0.0,0.0,0.0,0.035761,0.000745,0.0019879999999999997,0.3585459887981415,0.6224109999999999,0.6224109999999999,0.239475,0.8672700000000001
72000,2e-06,0.0,0.0,0.0,0.035457,0.000767,0.002038,0.3615489900112152,0.632428,0.632428,0.247033,0.8701530000000001
100000,2e-06,0.0,0.0,0.0,0.037105,0.000692,0.001782,0.3592450022697449,0.609112,0.609112,0.249154,0.863519
120000,1e-06,0.0,0.0,0.0,0.037806,0.000597,0.001462,0.3588300049304962,0.602426,0.602426,0.245686,0.862983
124000,2e-06,0.0,0.0,0.0,0.035948,0.0006940000000000001,0.001673,0.3583120107650757,0.615099,0.615099,0.249349,0.8658389999999999
128000,2e-06,0.0,0.0,0.0,0.037094,0.000909,0.002566,0.3608990013599396,0.6244149999999999,0.6244149999999999,0.245738,0.867741
148000,2e-06,0.0,0.0,0.0,0.035332,0.0010609999999999999,0.002881,0.3589789867401123,0.6390170000000001,0.6390170000000001,0.252452,0.8731
160000,2e-06,0.0,0.0,0.0,0.036208,0.001045,0.002834,0.360289990901947,0.627451,0.627451,0.253251,0.868719
180000,2e-06,0.0,0.0,0.0,0.035095,0.000813,0.002273,0.357917994260788,0.650342,0.650342,0.243533,0.872099
200000,4e-06,0.0,0.0,0.0,0.036073,0.0013449999999999998,0.003435,0.36063700914382935,0.635716,0.635716,0.25197600000000003,0.8705069999999999
220000,2e-06,0.0,0.0,0.0,0.038078,0.0010140000000000001,0.002822,0.3607189953327179,0.640783,0.640783,0.252886,0.871058
225000,2e-06,0.0,0.0,0.0,0.040625,0.000793,0.001998,0.3616760075092316,0.616174,0.616174,0.251656,0.86595
240000,2e-06,0.0,0.0,0.0,0.038071,0.0008880000000000002,0.002531,0.36184799671173096,0.633087,0.633087,0.256822,0.869358
260000,3e-06,0.0,0.0,0.0,0.038828,0.001124,0.002867,0.3624440133571625,0.629681,0.629681,0.255575,0.869281
280000,2e-06,0.0,0.0,0.0,0.040342,0.001182,0.002916,0.3590430021286011,0.6328630000000001,0.6328630000000001,0.24601199999999998,0.869461
300000,4e-06,0.0,0.0,0.0,0.038353,0.001455,0.003558,0.36006200313568115,0.638889,0.638889,0.247198,0.870216
320000,2e-06,0.0,0.0,0.0,0.03918,0.000897,0.002355,0.3598619997501373,0.634464,0.634464,0.243475,0.8690260000000001
340000,3e-06,0.0,0.0,0.0,0.040434,0.00133,0.003652,0.3609139919281006,0.635323,0.635323,0.248757,0.8697090000000001
355000,2e-06,0.0,0.0,0.0,0.042557,0.001088,0.002959,0.36386799812316895,0.6279359999999999,0.6279359999999999,0.254126,0.869769
360000,4e-06,0.0,0.0,0.0,0.042162,0.001367,0.003758,0.3631550073623657,0.626793,0.626793,0.25521,0.8688
380000,3e-06,0.0,0.0,0.0,0.040374,0.0012109999999999998,0.0033640000000000002,0.3637019991874695,0.625942,0.625942,0.256044,0.867224
400000,2e-06,0.0,0.0,0.0,0.041605,0.001148,0.002979,0.3656440079212189,0.631592,0.631592,0.264265,0.869698
420000,3e-06,0.0,0.0,0.0,0.041132999999999996,0.001336,0.003745000000000001,0.3622870147228241,0.632108,0.632108,0.245883,0.8684360000000001
440000,2e-06,0.0,0.0,0.0,0.042391000000000005,0.000994,0.002935,0.36087799072265625,0.62187,0.62187,0.247099,0.8663489999999999
455000,3e-06,0.0,0.0,0.0,0.043026999999999996,0.001295,0.003614,0.3591180145740509,0.614024,0.614024,0.24923,0.864419
460000,3e-06,0.0,0.0,0.0,0.040555,0.001358,0.003644,0.3621290028095245,0.6226520000000001,0.6226520000000001,0.257463,0.8662059999999999
480000,4e-06,0.0,0.0,0.0,0.041666,0.00164,0.004423,0.36514100432395935,0.645834,0.645834,0.258261,0.8735569999999999
500000,4e-06,0.0,0.0,0.0,0.042409,0.001652,0.004694,0.363180011510849,0.640625,0.640625,0.253481,0.871172
